SimTime,Day,TimeOfDay,NumVehicleGenerated,NumVehiclesActive,NumVehiclesWaiting,NumVehicleCompleted,AverageSpeed,VehicleDensity
433,1,433,1209,959,0,405,3.8843,0.0095
434,1,434,1212,960,0,407,3.8865,0.0096
435,1,435,1214,957,0,412,3.8871,0.0095
436,1,436,1216,960,0,413,3.8771,0.0096
437,1,437,1218,960,0,415,3.8958,0.0096
438,1,438,1220,960,0,417,3.8479,0.0096
439,1,439,1222,964,0,417,3.8506,0.0096
440,1,440,1225,963,0,421,3.8692,0.0096
441,1,441,1227,967,0,421,3.8397,0.0096
442,1,442,1229,968,0,422,3.8409,0.0096
443,1,443,1231,969,0,423,3.8669,0.0096
444,1,444,1233,969,0,425,3.8421,0.0096
445,1,445,1236,970,0,427,3.8474,0.0096
446,1,446,1238,969,0,432,3.8462,0.0096
447,1,447,1240,970,0,433,3.8763,0.0096
448,1,448,1241,965,0,439,3.8560,0.0096
449,1,449,1244,967,0,440,3.8645,0.0096
450,1,450,1246,966,0,444,3.8634,0.0096
451,1,451,1248,967,0,445,3.8552,0.0096
452,1,452,1250,968,0,447,3.8822,0.0096
453,1,453,1252,967,0,450,3.8759,0.0096
454,1,454,1254,965,0,454,3.9078,0.0096
455,1,455,1256,966,0,456,3.9017,0.0096
456,1,456,1259,967,0,459,3.9276,0.0096
457,1,457,1260,968,0,461,3.8977,0.0096
458,1,458,1262,967,0,465,3.9276,0.0096
459,1,459,1264,968,0,466,3.9153,0.0096
460,1,460,1266,966,0,470,3.9079,0.0096
461,1,461,1268,966,0,473,3.9068,0.0096
462,1,462,1270,967,0,474,3.8718,0.0096
463,1,463,1273,967,0,477,3.8987,0.0096
464,1,464,1275,971,0,477,3.8898,0.0097
465,1,465,1277,969,0,481,3.8679,0.0096
466,1,466,1279,972,0,483,3.8611,0.0097
467,1,467,1281,969,0,488,3.8844,0.0096
468,1,468,1283,968,0,491,3.8709,0.0096
469,1,469,1285,968,0,494,3.8533,0.0096
470,1,470,1287,970,0,494,3.8454,0.0096
471,1,471,1290,970,0,497,3.8402,0.0096
472,1,472,1292,968,0,501,3.8368,0.0096
473,1,473,1294,971,0,502,3.8496,0.0097
474,1,474,1296,971,0,504,3.8208,0.0097
475,1,475,1298,975,0,504,3.8749,0.0097
476,1,476,1301,977,0,505,3.8424,0.0097
