T,Smoothed_Pro
469,3.685447494222894e-06
470,3.6849402239739595e-06
471,3.684432953725025e-06
472,3.6839256834760898e-06
473,3.683418413227155e-06
474,3.6829111429782205e-06
475,3.6824038727292854e-06
476,3.6818966024803507e-06
477,3.681389332231416e-06
478,3.680882061982481e-06
479,3.6803747917335463e-06
480,3.6798675214846116e-06
481,3.6793602512356765e-06
482,3.678852980986742e-06
483,3.6783457107378068e-06
484,3.677838440488872e-06
485,3.6773311702399375e-06
486,3.6768238999910024e-06
487,3.6763166297420677e-06
488,3.675809359493133e-06
489,3.675302089244198e-06
490,3.6747948189952633e-06
491,3.6742875487463286e-06
492,3.6737802784973935e-06
493,3.673273008248459e-06
494,3.672765737999524e-06
495,3.672258467750589e-06
496,3.6717511975016545e-06
497,3.67124392725272e-06
498,3.6707366570037847e-06
499,3.67022938675485e-06
500,3.6697221165059154e-06
501,3.6692148462569803e-06
502,3.6687075760080456e-06
503,3.668200305759111e-06
504,3.667693035510176e-06
505,3.667185765261241e-06
506,3.6666784950123065e-06
507,3.6661712247633715e-06
508,3.665663954514437e-06
509,3.665156684265502e-06
510,3.664649414016567e-06
511,3.6641421437676324e-06
512,3.6636348735186977e-06
513,3.6631276032697626e-06
514,3.662620333020828e-06
515,3.6621130627718933e-06
516,3.661605792522958e-06
517,3.6610985222740235e-06
518,3.660591252025089e-06
519,3.660083981776154e-06
520,3.659576711527219e-06
521,3.6590694412782845e-06
522,3.6585621710293494e-06
523,3.6580549007804147e-06
524,3.6575476305314796e-06
525,3.657040360282545e-06
526,3.6565330900336103e-06
527,3.656025819784675e-06
528,3.6555185495357405e-06
529,3.655011279286806e-06
530,3.654504009037871e-06
531,3.653996738788936e-06
532,3.6534894685400015e-06
533,3.6529821982910664e-06
534,3.6524749280421317e-06
535,3.651967657793197e-06
536,3.651460387544262e-06
537,3.6509531172953273e-06
538,3.6504458470463926e-06
539,3.6499385767974575e-06
540,3.649431306548523e-06
541,3.648924036299588e-06
542,3.648416766050653e-06
543,3.6479094958017185e-06
544,3.647402225552784e-06
545,3.6468949553038487e-06
546,3.646387685054914e-06
547,3.6458804148059794e-06
548,3.6453731445570443e-06
549,3.6448658743081096e-06
550,3.644358604059175e-06
551,3.64385133381024e-06
552,3.643344063561305e-06
553,3.6428367933123705e-06
554,3.6423295230634355e-06
555,3.641822252814501e-06
556,3.641314982565566e-06
557,3.640807712316631e-06
558,3.6403004420676964e-06
559,3.6397931718187617e-06
560,3.6392859015698266e-06
561,3.638778631320892e-06
562,3.6382713610719573e-06
563,3.637764090823022e-06
564,3.6372568205740875e-06
565,3.6367495503251525e-06
566,3.636242280076218e-06
567,3.635735009827283e-06
568,3.635227739578348e-06
569,3.6347204693294134e-06
570,3.6342131990804787e-06
571,3.6337059288315436e-06
572,3.633198658582609e-06
573,3.6326913883336743e-06
574,3.632184118084739e-06
575,3.6316768478358045e-06
576,3.63116957758687e-06
577,3.630662307337935e-06
578,3.630155037089e-06
579,3.6296477668400655e-06
580,3.6291404965911304e-06
581,3.6286332263421957e-06
582,3.628125956093261e-06
583,3.627618685844326e-06
584,3.6271114155953913e-06
585,3.6266041453464566e-06
586,3.6260968750975215e-06
587,3.625589604848587e-06
588,3.6250823345996522e-06
589,3.624575064350717e-06
590,3.6240677941017825e-06
591,3.623560523852848e-06
