T,TTI
695,5.836599189110834e-06
696,5.836599189110834e-06
697,5.836599189110834e-06
698,5.836599189110834e-06
699,5.836599189110834e-06
700,5.836599189110834e-06
701,5.836599189110834e-06
702,5.836599189110834e-06
703,5.836599189110834e-06
704,5.836599189110834e-06
705,5.836599189110834e-06
706,5.836599189110834e-06
707,5.836599189110834e-06
708,5.836599189110834e-06
709,5.836599189110834e-06
710,5.836599189110834e-06
711,5.836599189110834e-06
712,5.9558832798716986e-06
713,6.114928734219516e-06
714,6.114928734219516e-06
715,6.114928734219516e-06
716,6.114928734219516e-06
717,6.114928734219516e-06
718,6.114928734219516e-06
719,6.114928734219516e-06
720,6.114928734219516e-06
721,6.114928734219516e-06
722,6.114928734219516e-06
723,6.114928734219516e-06
724,6.114928734219516e-06
725,6.114928734219516e-06
726,6.114928734219516e-06
727,6.114928734219516e-06
728,6.114928734219516e-06
729,6.114928734219516e-06
730,6.114928734219516e-06
731,6.114928734219516e-06
732,6.114928734219516e-06
733,6.114928734219516e-06
734,6.114928734219516e-06
735,6.114928734219516e-06
736,6.114928734219516e-06
737,6.114928734219516e-06
738,6.114928734219516e-06
739,6.114928734219516e-06
740,6.114928734219516e-06
741,6.114928734219516e-06
742,6.114928734219516e-06
743,6.114928734219516e-06
744,6.114928734219516e-06
745,6.114928734219516e-06
746,6.114928734219516e-06
747,6.114928734219516e-06
748,6.114928734219516e-06
749,6.114928734219516e-06
750,6.114928734219516e-06
751,6.114928734219516e-06
752,6.114928734219516e-06
753,6.114928734219516e-06
754,6.114928734219516e-06
755,6.114928734219516e-06
756,6.114928734219516e-06
757,6.114928734219516e-06
758,6.114928734219516e-06
759,6.114928734219516e-06
760,6.114928734219516e-06
761,6.114928734219516e-06
762,6.114928734219516e-06
763,6.114928734219516e-06
764,6.114928734219516e-06
765,6.114928734219516e-06
766,6.114928734219516e-06
767,6.114928734219516e-06
768,6.114928734219516e-06
769,6.114928734219516e-06
770,6.114928734219516e-06
771,6.114928734219516e-06
772,6.114928734219516e-06
773,6.114928734219516e-06
774,6.114928734219516e-06
775,6.114928734219516e-06
776,6.114928734219516e-06
777,6.114928734219516e-06
778,6.114928734219516e-06
779,6.114928734219516e-06
780,6.114928734219516e-06
781,6.114928734219516e-06
782,6.114928734219516e-06
783,6.114928734219516e-06
784,6.114928734219516e-06
785,6.114928734219516e-06
786,6.114928734219516e-06
787,6.114928734219516e-06
788,6.114928734219516e-06
789,6.114928734219516e-06
790,6.114928734219516e-06
791,6.114928734219516e-06
792,6.114928734219516e-06
793,6.114928734219516e-06
794,6.114928734219516e-06
795,6.114928734219516e-06
796,6.114928734219516e-06
797,6.114928734219516e-06
798,6.114928734219516e-06
799,6.114928734219516e-06
800,6.114928734219516e-06
801,6.114928734219516e-06
802,6.273974188567334e-06
803,6.313735552154287e-06
804,6.313735552154287e-06
805,6.313735552154287e-06
806,6.313735552154287e-06
807,6.313735552154287e-06
808,6.313735552154287e-06
809,6.313735552154287e-06
810,6.313735552154287e-06
811,6.313735552154287e-06
812,6.313735552154287e-06
813,6.313735552154287e-06
814,6.313735552154287e-06
815,6.313735552154287e-06
816,6.313735552154287e-06
817,6.313735552154287e-06
818,6.313735552154287e-06
819,6.313735552154287e-06
820,6.313735552154287e-06
821,6.313735552154287e-06
822,6.313735552154287e-06
823,6.313735552154287e-06
824,6.313735552154287e-06
825,6.313735552154287e-06
826,6.313735552154287e-06
827,6.313735552154287e-06
828,6.313735552154287e-06
829,6.313735552154287e-06
830,6.313735552154287e-06
831,6.35349691574124e-06
832,6.472781006502107e-06
833,6.472781006502107e-06
834,6.472781006502107e-06
835,6.472781006502107e-06
836,6.472781006502107e-06
837,6.472781006502107e-06
838,6.472781006502107e-06
839,6.472781006502107e-06
840,6.472781006502107e-06
841,6.472781006502107e-06
842,6.472781006502107e-06
843,6.472781006502107e-06
844,6.472781006502107e-06
845,6.472781006502107e-06
846,6.472781006502107e-06
847,6.472781006502107e-06
848,6.472781006502107e-06
849,6.472781006502107e-06
850,6.472781006502107e-06
851,6.472781006502107e-06
852,6.472781006502107e-06
853,6.472781006502107e-06
854,6.472781006502107e-06
855,6.472781006502107e-06
856,6.472781006502107e-06
857,6.472781006502107e-06
858,6.472781006502107e-06
859,6.472781006502107e-06
860,6.472781006502107e-06
861,6.592065097262972e-06
862,6.671587824436879e-06
