source,target
3810000002684,2684
382,3820000004989
3820000004989,4989
383,383000000369
383000000369,369
383,3830000008270
3830000008270,8270
384,3840000009376
3840000009376,9376
384,3840000006521
3840000006521,6521
385,3850000004427
3850000004427,4427
385,3850000002748
3850000002748,2748
386,386000000388
386000000388,388
386,3860000009071
3860000009071,9071
387,3870000007841
3870000007841,7841
387,3870000001925
3870000001925,1925
388,388000000389
388000000389,389
389,3890000002931
3890000002931,2931
389,3890000008095
3890000008095,8095
390,3900000004971
3900000004971,4971
390,390000000381
390000000381,381
391,3910000001922
3910000001922,1922
391,391000000379
391000000379,379
391,391000000380
391000000380,380
391,3910000002758
3910000002758,2758
392,392000000779
392000000779,779
393,393000000787
393000000787,787
394,3940000004133
3940000004133,4133
395,395000000793
395000000793,793
397,3970000008528
3970000008528,8528
397,3970000004313
3970000004313,4313
397,397000000402
397000000402,402
398,398000000773
398000000773,773
399,3990000006474
3990000006474,6474
8600,8600000000403
8600000000403,403
400,400000000398
400000000398,398
400,4000000006471
4000000006471,6471
401,40100000010569
40100000010569,10569
401,4010000003196
4010000003196,3196
401,4010000004925
4010000004925,4925
402,4020000009265
4020000009265,9265
402,402000000397
402000000397,397
402,4020000004503
4020000004503,4503
403,403000000400
403000000400,400
404,404000000357
404000000357,357
404,404000000383
404000000383,383
405,4050000007075
4050000007075,7075
405,4050000004503
4050000004503,4503
406,406000000427
406000000427,427
407,407000000491
407000000491,491
407,407000000757
407000000757,757
409,409000000412
409000000412,412
410,4100000008020
4100000008020,8020
410,4100000004111
4100000004111,4111
411,4110000009370
4110000009370,9370
412,412000000561
412000000561,561
412,4120000009614
4120000009614,9614
413,41300000051
41300000051,51
413,4130000002116
4130000002116,2116
414,4140000009464
4140000009464,9464
414,4140000005010
4140000005010,5010
415,4150000005937
4150000005937,5937
415,415000000206
415000000206,206
416,4160000001147
4160000001147,1147
416,4160000007501
4160000007501,7501
417,4170000009812
4170000009812,9812
417,41700000010228
41700000010228,10228
418,4180000004872
4180000004872,4872
418,4180000004873
4180000004873,4873
418,4180000008405
4180000008405,8405
419,4190000008047
4190000008047,8047
420,420000000296
420000000296,296
421,4210000004419
4210000004419,4419
422,4220000008820
4220000008820,8820
423,4230000004910
4230000004910,4910
424,4240000002296
4240000002296,2296
424,424000000425
424000000425,425
425,4250000004241
